Subject,Start Date,Start Time,End Date,End Time,Description,Location,,,,
EXAMPLE SUBJECT,2021-03-01,16:00:00,2021-03-01,17:30:00,EXAMPLE TEACHER,ONLINE,,,,
EXAMPLE SUBJECT,2021-03-08,16:00:00,2021-03-08,17:30:00,EXAMPLE TEACHER,ONLINE,,,,
EXAMPLE SUBJECT,2021-03-15,16:00:00,2021-03-15,17:30:00,EXAMPLE TEACHER,ONLINE,,,,
EXAMPLE SUBJECT,2021-03-22,16:00:00,2021-03-22,17:30:00,EXAMPLE TEACHER,ONLINE,,,,
EXAMPLE SUBJECT,2021-03-29,16:00:00,2021-03-29,17:30:00,EXAMPLE TEACHER,ONLINE,,,,
EXAMPLE SUBJECT,2021-04-05,16:00:00,2021-04-05,17:30:00,EXAMPLE TEACHER,ONLINE,,,,
EXAMPLE SUBJECT,2021-04-12,16:00:00,2021-04-12,17:30:00,EXAMPLE TEACHER,ONLINE,,,,
EXAMPLE SUBJECT,2021-04-19,16:00:00,2021-04-19,17:30:00,EXAMPLE TEACHER,ONLINE,,,,
EXAMPLE SUBJECT,2021-04-26,16:00:00,2021-04-26,17:30:00,EXAMPLE TEACHER,ONLINE,,,,
EXAMPLE SUBJECT,2021-05-03,16:00:00,2021-05-03,17:30:00,EXAMPLE TEACHER,ONLINE,,,,
EXAMPLE SUBJECT,2021-05-10,16:00:00,2021-05-10,17:30:00,EXAMPLE TEACHER,ONLINE,,,,
EXAMPLE SUBJECT,2021-05-17,16:00:00,2021-05-17,17:30:00,EXAMPLE TEACHER,ONLINE,,,,
EXAMPLE SUBJECT,2021-05-24,16:00:00,2021-05-24,17:30:00,EXAMPLE TEACHER,ONLINE,,,,
EXAMPLE SUBJECT,2021-05-31,16:00:00,2021-05-31,17:30:00,EXAMPLE TEACHER,ONLINE,,,,
EXAMPLE SUBJECT,2021-06-07,16:00:00,2021-06-07,17:30:00,EXAMPLE TEACHER,ONLINE,,,,
