Subject,Start Date,Start Time,End Date,End Time,Description,Location
Specjalistyczny język angielski B2+,2023-10-03,17:00,2023-10-03,18:30,mgr Karolina Pasiut,C7 - 209
Specjalistyczny język angielski B2+,2023-10-10,17:00,2023-10-10,18:30,mgr Karolina Pasiut,C7 - 209
Specjalistyczny język angielski B2+,2023-10-17,17:00,2023-10-17,18:30,mgr Karolina Pasiut,C7 - 209
Specjalistyczny język angielski B2+,2023-10-24,17:00,2023-10-24,18:30,mgr Karolina Pasiut,C7 - 209
Specjalistyczny język angielski B2+,2023-10-31,17:00,2023-10-31,18:30,mgr Karolina Pasiut,C7 - 209
Specjalistyczny język angielski B2+,2023-11-07,17:00,2023-11-07,18:30,mgr Karolina Pasiut,C7 - 209
Specjalistyczny język angielski B2+,2023-11-14,17:00,2023-11-14,18:30,mgr Karolina Pasiut,C7 - 209
Specjalistyczny język angielski B2+,2023-11-21,17:00,2023-11-21,18:30,mgr Karolina Pasiut,C7 - 209
Specjalistyczny język angielski B2+,2023-11-28,17:00,2023-11-28,18:30,mgr Karolina Pasiut,C7 - 209
Specjalistyczny język angielski B2+,2023-12-05,17:00,2023-12-05,18:30,mgr Karolina Pasiut,C7 - 209
Specjalistyczny język angielski B2+,2023-12-12,17:00,2023-12-12,18:30,mgr Karolina Pasiut,C7 - 209
Specjalistyczny język angielski B2+,2023-12-19,17:00,2023-12-19,18:30,mgr Karolina Pasiut,C7 - 209
Specjalistyczny język angielski B2+,2024-01-09,17:00,2024-01-09,18:30,mgr Karolina Pasiut,C7 - 209
Specjalistyczny język angielski B2+,2024-01-16,17:00,2024-01-16,18:30,mgr Karolina Pasiut,C7 - 209
Specjalistyczny język angielski B2+,2024-01-23,17:00,2024-01-23,18:30,mgr Karolina Pasiut,C7 - 209
