Subject,Start Date,Start Time,End Date,End Time,Description,Location,,,,
Warsztaty modelowania,2021-10-08,8:00,2021-10-08,10:15,dr hab. inż. Barbara Mrzygłód,B5-612,,,,
Warsztaty modelowania,2021-10-15,8:00,2021-10-15,10:15,dr hab. inż. Maciej Sułowski,B5-612,,,,
Warsztaty modelowania,2021-10-15,10:30,2021-10-15,12:45,dr inż. Marcin Goły,B5-612,,,,
Warsztaty modelowania,2021-10-22,8:00,2021-10-22,10:15,dr hab. inż. Marek Wojtaszek,B5-612,,,,
Warsztaty modelowania,2021-10-22,10:30,2021-10-22,12:45,dr hab. inż. Marek Wojtaszek,B5-612,,,,
Warsztaty modelowania,2021-10-29,8:00,2021-10-29,10:15,prof. dr hab. inż. Andrij Milenin,B5-612,,,,
Warsztaty modelowania,2021-10-29,10:30,2021-10-29,12:45,prof. dr hab. inż. Andrij Milenin,B5-612,,,,
Warsztaty modelowania,2021-11-05,8:00,2021-11-05,10:15,prof. dr hab. inż. Dmytro Svyetlichnyy,B5-612,,,,
Warsztaty modelowania,2021-11-05,10:30,2021-11-05,12:45,dr inż. Piotr Skubisz,B5-612,,,,
Warsztaty modelowania,2021-11-12,8:00,2021-11-12,10:15,dr inż. Konrad Perzyński,B5-612,,,,
Warsztaty modelowania,2021-11-12,10:30,2021-11-12,12:45,dr inż. Łukasz Lisiecki,B5-612,,,,
Warsztaty modelowania,2021-11-19,8:00,2021-11-19,10:15,dr hab. Magdalena Kopernik,B5-612,,,,
Warsztaty modelowania,2021-11-19,10:30,2021-11-19,12:45,dr inż. Piotr Skubisz,B5-612,,,,
Warsztaty modelowania,2021-11-26,8:00,2021-11-26,10:15,dr hab. Magdalena Kopernik,B5-612,,,,
Warsztaty modelowania,2021-11-26,10:30,2021-11-26,12:45,dr inż. Tomasz Dębiński,B5-612,,,,
Warsztaty modelowania,2021-12-03,8:00,2021-12-03,10:15,dr inż. Łukasz Sztangret,B5-612,,,,
Warsztaty modelowania,2021-12-03,10:30,2021-12-03,12:45,dr inż. Łukasz Sztangret,B5-612,,,,
Warsztaty modelowania,2021-12-10,8:00,2021-12-10,10:15,prof. dr hab. inż. Łukasz Madej,B5-612,,,,
Warsztaty modelowania,2021-12-10,10:30,2021-12-10,12:45,dr inż. Mateusz Sitko,B5-612,,,,
Warsztaty modelowania,2021-12-17,8:00,2021-12-17,10:15,prof. dr hab. inż. Zbigniew Malinowski,B5-612,,,,
Warsztaty modelowania,2021-12-17,10:30,2021-12-17,12:45,prof. dr hab. inż. Zbigniew Malinowski,B5-612,,,,
Warsztaty modelowania,2022-01-07,8:00,2022-01-07,10:15,dr inż. Sylwia Bednarek,B5-612,,,,
Warsztaty modelowania,2022-01-07,10:30,2022-01-07,12:45,dr inż. Sylwia Bednarek,B5-612,,,,
Warsztaty modelowania,2022-01-14,8:00,2022-01-14,10:15,dr hab. inż. Marcin Rywotycki,B5-612,,,,
Warsztaty modelowania,2022-01-14,10:30,2022-01-14,12:45,dr hab. inż. Marcin Rywotycki,B5-612,,,,
Warsztaty modelowania,2022-01-21,8:00,2022-01-21,10:15,dr inż. Aleksander Siwek,B5-612,,,,
Warsztaty modelowania,2022-01-21,10:30,2022-01-21,12:45,dr inż. Aleksander Siwek,B5-612,,,,
