"poziom_studiow";"forma_studiow";"kod_przedmiotu";"nazwa_przedmiotu";"rodzaj_zajec";"numer_grupy";"prowadzacy";"data";"poczatek";"koniec";"budynek";"nr_sali"
"I Stopnia";"Stacjonarne";"450-WF-1S-3";"Wychowanie fizyczne 3";"zajęcia z wf";"34";"mgr Mariusz Wdówka";"2021-09-28";"14:00";"15:30";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"wykład";"1";"prof. dr hab. inż. Łukasz Madej";"2021-10-04";"8:00";"9:30";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"wykład";"1";"prof. dr hab. inż. Mirosław Głowacki";"2021-10-04";"11:30";"13:00";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-230";"Optymalizacja";"ćwiczenia projektowe";"2";"dr inż. Łukasz Sztangret";"2021-10-05";"15:00";"16:30";"B4";"101"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"ćwiczenia projektowe";"2";"mgr inż. Mateusz Mojżeszko";"2021-10-06";"9:45";"11:15";"B5";"404"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"ćwiczenia laboratoryjne";"3";"dr inż. Przemysław Marynowski";"2021-10-06";"15:00";"16:30";"B5";"404"
"I Stopnia";"Stacjonarne";"110-INO-1S-300";"Przetwarzanie równoległe i rozproszone";"wykład";"1";"dr hab. inż. Krzysztof Banaś";"2021-10-07";"8:00";"9:30";"B4";"122"
"I Stopnia";"Stacjonarne";"110-INO-1S-230";"Optymalizacja";"wykład";"1";"prof. dr hab. inż. Jan Kusiak";"2021-10-07";"9:45";"11:15";"B4";"122"
"I Stopnia";"Stacjonarne";"110-INO-1S-384";"Warsztaty modelowania";"zajęcia warsztatowe";"1";"dr hab. inż. Barbara Mrzygłód";"2021-10-08";"8:00";"10:15";"B5";"612"
"I Stopnia";"Stacjonarne";"110-INO-1S-300";"Przetwarzanie równoległe i rozproszone";"ćwiczenia laboratoryjne";"3";"mgr inż. Jan Bielański";"2021-10-08";"15:00";"16:30";"B5";"410"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"wykład";"1";"prof. dr hab. inż. Łukasz Madej";"2021-10-11";"8:00";"9:30";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"wykład";"1";"prof. dr hab. inż. Mirosław Głowacki";"2021-10-11";"11:30";"13:00";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-230";"Optymalizacja";"ćwiczenia projektowe";"2";"dr inż. Łukasz Sztangret";"2021-10-12";"15:00";"16:30";"B4";"101"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"ćwiczenia projektowe";"2";"mgr inż. Mateusz Mojżeszko";"2021-10-13";"9:45";"11:15";"B5";"404"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"ćwiczenia laboratoryjne";"3";"dr inż. Przemysław Marynowski";"2021-10-13";"15:00";"16:30";"B5";"404"
"I Stopnia";"Stacjonarne";"110-INO-1S-300";"Przetwarzanie równoległe i rozproszone";"wykład";"1";"dr hab. inż. Krzysztof Banaś";"2021-10-14";"8:00";"9:30";"B4";"122"
"I Stopnia";"Stacjonarne";"110-INO-1S-230";"Optymalizacja";"wykład";"1";"prof. dr hab. inż. Jan Kusiak";"2021-10-14";"9:45";"11:15";"B4";"122"
"I Stopnia";"Stacjonarne";"110-INO-1S-384";"Warsztaty modelowania";"zajęcia warsztatowe";"1";"dr hab. inż. Maciej Sułowski";"2021-10-15";"8:00";"10:15";"B5";"612"
"I Stopnia";"Stacjonarne";"110-INO-1S-384";"Warsztaty modelowania";"zajęcia warsztatowe";"1";"dr inż. Marcin Goły";"2021-10-15";"10:30";"12:45";"B5";"612"
"I Stopnia";"Stacjonarne";"110-INO-1S-300";"Przetwarzanie równoległe i rozproszone";"ćwiczenia laboratoryjne";"3";"mgr inż. Jan Bielański";"2021-10-15";"15:00";"16:30";"B5";"410"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"wykład";"1";"prof. dr hab. inż. Łukasz Madej";"2021-10-18";"8:00";"9:30";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"wykład";"1";"prof. dr hab. inż. Mirosław Głowacki";"2021-10-18";"11:30";"13:00";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-230";"Optymalizacja";"ćwiczenia projektowe";"2";"dr inż. Łukasz Sztangret";"2021-10-19";"15:00";"16:30";"B4";"101"
