Subject,Start Date,Start Time,End Date,End Time,Description,Location,,,,
Jêzyk Angielski,2021-03-01,18:00:00,2021-03-01,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-03-03,18:00:00,2021-03-03,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-03-08,18:00:00,2021-03-08,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-03-10,18:00:00,2021-03-10,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-03-15,18:00:00,2021-03-15,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-03-17,18:00:00,2021-03-17,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-03-22,18:00:00,2021-03-22,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-03-24,18:00:00,2021-03-24,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-03-29,18:00:00,2021-03-29,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-03-31,18:00:00,2021-03-31,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-04-05,18:00:00,2021-04-05,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-04-07,18:00:00,2021-04-07,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-04-12,18:00:00,2021-04-12,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-04-14,18:00:00,2021-04-14,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-04-19,18:00:00,2021-04-19,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-04-21,18:00:00,2021-04-21,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-04-26,18:00:00,2021-04-26,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-04-28,18:00:00,2021-04-28,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-05-03,18:00:00,2021-05-03,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-05-05,18:00:00,2021-05-05,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-05-10,18:00:00,2021-05-10,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-05-12,18:00:00,2021-05-12,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-05-17,18:00:00,2021-05-17,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-05-19,18:00:00,2021-05-19,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-05-24,18:00:00,2021-05-24,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-05-26,18:00:00,2021-05-26,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-05-31,18:00:00,2021-05-31,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-06-02,18:00:00,2021-06-02,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-06-07,18:00:00,2021-06-07,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
Jêzyk Angielski,2021-06-09,18:00:00,2021-06-09,19:30:00,El¿bieta Suszañska-Brzezicka,TEAMS,,,,
